Records   , 410   , 435   , 460   , 485   , 510   , 535   , 560   , 585   , 610   , 645   , 680   , 705   , 730   , 760   , 810   , 860   , 900   , 940   , Capacitity Moist, Temp, Moist, EC (u/10 gram), Ph  , Nitro (mg/10 g), Posh Nitro (mg/10 g), Pota Nitro (mg/10 g)
100_0ml-1 , 720.93, 146.4 , 366.36, 102.16, 174.56, 175.43,  29.18,  35.59, 150.25,  46.71,  86.77,   9.3 ,  17.8 ,  16.91,  34.15, 117.1 ,  13.83,   7.08,             2639, 36.1,     0,              0, 7.88,               0,                    0,                    0
100_0ml-1 , 716.31, 146.4 , 365.45,  94.56, 173.06, 160.69,  24.62,  29.86, 141.01,  42.94, 100.73,   8.59,  16.99,  16.91,  36.71, 131.46,  13.83,   7.08,             2650, 38.2,     0,              0, 7.6 ,               0,                    0,                    0
100_0ml-10, 719.39, 146.4 , 366.36,  96.25, 174.56, 162.1 ,  27.36,  33.13, 138.7 ,  46.71,  87.77,   8.94,  16.99,  16.1 ,  34.15, 109.37,  14.4 ,   7.08,             2638, 36.1,     0,              0, 8.02,               0,                    0,                    0
100_0ml-10, 715.54, 146.4 , 366.36,  95.4 , 173.81, 163.5 ,  25.08,  30.27, 144.47,  42.94, 100.73,   8.59,  16.99,  16.91,  36.71, 132.57,  14.4 ,   7.08,             2636, 38.2,     0,              0, 7.52,               0,                    0,                    0
100_0ml-2 , 720.93, 146.4 , 366.36,  95.4 , 174.56, 163.5 ,  27.36,  33.13, 139.85,  46.71,  86.77,   8.94,  16.99,  16.1 ,  34.15, 109.37,  13.83,   7.08,             2637, 36.1,     0,              0, 7.88,               0,                    0,                    0
100_0ml-2 , 716.31, 146.4 , 366.36,  94.56, 173.81, 160.69,  24.62,  29.86, 142.16,  42.94, 100.73,   8.59,  16.99,  16.91,  36.71, 139.19,  13.83,   7.08,             2653, 38.2,     0,              0, 7.6 ,               0,                    0,                    0
100_0ml-3 , 720.16, 146.4 , 366.36, 101.31, 174.56, 174.02,  29.18,  35.59, 149.1 ,  46.71,  87.77,   9.3 ,  17.8 ,  16.91,  34.15, 117.1 ,  13.83,   7.08,             2645, 36.1,     0,              0, 7.88,               0,                    0,                    0
100_0ml-3 , 716.31, 146.4 , 366.36,  96.25, 173.06, 162.8 ,  25.08,  30.27, 143.32,  42.94, 100.73,   8.59,  16.99,  16.91,  36.71, 132.57,  13.83,   7.08,             2653, 38.2,     0,              0, 7.6 ,               0,                    0,                    0
100_0ml-4 , 719.39, 145.44, 366.36,  93.71, 174.56, 158.59,  26.45,  32.32, 136.38,  46.71,  81.78,   8.59,  16.18,  16.1 ,  34.15, 107.16,  14.4 ,   6.2 ,             2636, 36.1,     0,              0, 8.07,               0,                    0,                    0
100_0ml-4 , 716.31, 147.35, 366.36,  96.25, 173.81, 163.5 ,  25.08,  30.68, 144.47,  42.94, 100.73,   8.59,  16.99,  16.91,  36.71, 140.3 ,  13.83,   7.08,             2654, 38.2,     0,              0, 7.56,               0,                    0,                    0
